TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.04840973,0,4.476456,-39,0,0,0
0.08138522,0,4.42152,-39,0,0,0
0.1224003,0,4.335192,-39,0,0,0
0.1632153,0,4.217472,-39,0,0,0
0.2044958,0,4.06836,-39,0,0,0
0.2443081,0,3.887856,-39,0,0,0
0.2867569,0,3.67596,-39,0,0,0
0.3264194,0,3.432672,-39,0,0,0
0.366265,0,3.157992,-39,0,0,0
0.4075706,0,3.105,-39,0,0,0
0.447193,0,3.084347,-39,0,0,0
0.4887275,0,3.064347,-39,0,0,0
0.5295317,0,3.044347,-39,0,0,0
0.570613,0.005417925,3.043767,-38.8,0,0,0
0.6114311,0.02175094,3.070144,-38.6,0,0,0
0.6515872,0.04419121,3.123287,-38.4,0,0,0
0.6921883,0.07855059,3.119455,-38.1,0,0,0
0.7336318,0.09475496,3.093841,-37.9,0,0,0
0.774649,0.09986711,3.094476,-37.7,0,0,0
0.8161517,0.09134007,3.075119,-37.5,0,0,0
0.8563396,0.07301958,3.028855,-37.3,0,0,0
0.8971946,0.04982049,3.005002,-37.1,0,0,0
0.9381143,0.02665816,3.02948,-36.9,0,0,0
0.9794121,0.008447838,3.075782,-36.7,0,0,0
1.019661,0.0001047252,3.104586,-36.5,359.5,0.1,-2.60561E-11
1.060098,-0.005068869,3.12442,-36.29999,359.3,0.1,5.211409E-11
1.101385,-0.02105201,3.170145,-36.09981,359.2,0.5,0
1.142404,-0.04174452,3.203287,-35.89947,359.2,0.7,0
1.183325,-0.06292186,3.190222,-35.6986,358.7,1.2,0
1.224184,-0.07865077,3.145689,-35.499,357.7,0.7,0
1.265368,-0.08748401,3.108824,-35.29974,357.2,0.2,0
1.305409,-0.08491799,3.094369,-35.10025,356.9,359.9,0
1.34621,-0.07122451,3.051643,-34.90096,356.2,359.4,1.671201E-09
1.387235,-0.0519252,3.011669,-34.70182,356.2,358.4,3.342401E-09
1.427103,-0.03369926,3.012055,-34.50189,356.4,357.4,0
1.468285,-0.02149188,3.05236,-34.30116,356.5,357.3,0
1.509227,-0.01703744,3.094829,-34.10073,356.5,357.3,0
1.549041,-0.02264961,3.109127,-33.90077,356.5,357.3,0
1.590201,-0.0206495,3.146397,-33.70041,357,357.1,0
1.631884,-0.01080498,3.190746,-33.49943,358.8,356.7,0
1.671344,0.001287982,3.203075,-33.2983,359.1,356.6,-1.667732E-09
1.712126,0.01177236,3.169455,-33.09733,359.1,356.6,-1.667732E-09
1.752959,0.01439714,3.108824,-32.79664,359.1,356.6,-1.667732E-09
1.806614,0.0006168857,3.094369,-32.59626,359.3,356.1,0
1.837165,-0.02687231,3.051643,-32.39985,0.7000002,357.6,0
1.87586,-0.05655837,3.011669,-32.20243,1.5,359,-1.668098E-09
1.915553,-0.0838401,3.012055,-32.00287,1.5,359,-1.668098E-09
1.953097,-0.1086281,3.05236,-31.80327,1.5,359,-1.668098E-09
1.99412,-0.1260076,3.094829,-31.60355,1.5,359,-1.668098E-09
2.034105,-0.1333109,3.109128,-31.40364,1.5,359,-1.668098E-09
2.07521,-0.1482358,3.146397,-31.20387,1.5,359,-1.668098E-09
2.115222,-0.1717243,3.190746,-31.00425,1.5,359,-1.668098E-09
2.15497,-0.1988618,3.203075,-30.8047,1.5,359,-1.668098E-09
2.196046,-0.224734,3.169455,-30.60512,1.5,359,-1.668098E-09
2.236051,-0.2444263,3.123841,-30.40543,1.5,359,-1.668098E-09
2.27708,-0.2530281,3.104476,-30.20555,1.5,359,-1.668098E-09
2.317288,-0.2479928,3.07512,-30.00543,1.5,359,-1.668098E-09
2.358018,-0.2331654,3.028854,-29.80514,1.5,359,-1.668098E-09
2.397897,-0.2134604,3.005002,-29.60477,1.6,359,0
2.439626,-0.1937644,3.02948,-29.40523,2.3,357.2,-6.675484E-09
2.479129,-0.1853184,3.075782,-29.20496,2.700001,354.6,0
2.519981,-0.1958327,3.104586,-29.00508,3.400001,349.3,2.672747E-08
2.560959,-0.227606,3.12442,-28.80722,3.900001,346,0
2.600761,-0.2602083,3.170145,-28.60895,3.900001,345.3,-5.348471E-08
2.642194,-0.2892738,3.203287,-28.40973,3.900001,345.2,0
2.68225,-0.3175147,3.190222,-28.21033,3.900001,345.2,0
2.721194,-0.3499576,3.171666,-28.01168,3.900001,344.3,-5.348471E-08
2.76094,-0.395229,3.163387,-27.81376,3.900001,341.5,-1.069694E-07
2.799965,-0.4628611,3.177018,-27.62223,3.800001,338.5,0
2.839066,-0.5505521,3.161827,-27.44214,3.500001,337.4,0
2.878834,-0.6481769,3.149238,-27.26737,3.200001,336.7,-5.344418E-08
2.918057,-0.7498851,3.176891,-27.09545,3.200001,336.7,-5.344418E-08
2.95663,-0.8493417,3.244422,-26.92269,3.200001,336.7,-5.344418E-08
2.995648,-0.9419408,3.314068,-26.74684,3.200001,336.7,-5.344418E-08
3.034332,-1.025293,3.355555,-26.56701,3.200001,336.7,-5.344418E-08
3.07363,-1.115665,3.420065,-26.39021,3.200001,336.7,-5.344418E-08
3.11244,-1.21384,3.491603,-26.21691,3.000001,336.4,5.343408E-08
3.151233,-1.264702,3.517439,-26.13169,2.300001,335.6,-5.340387E-08
3.189917,-1.369499,3.535225,-25.96177,2.000001,335.4,2.669669E-08
3.228717,-1.471552,3.520841,-25.79174,1.600001,335,0
3.267501,-1.567237,3.514148,-25.6182,1.600001,335,0
3.305527,-1.651006,3.529745,-25.43911,1.600001,335,0
3.344527,-1.723757,3.517054,-25.25488,1.300001,335,0
3.38373,-1.789684,3.505125,-25.06745,1.100001,334.8,2.668534E-08
3.421751,-1.854147,3.532509,-24.8784,1.000001,334.7,1.334225E-08
3.45969,-1.921135,3.599696,-24.69085,1.000001,334.7,1.334225E-08
3.498546,-1.940165,3.667959,-24.50888,1.000001,334.7,1.334225E-08
3.537692,-1.980124,3.709812,-24.3209,1.000001,334.7,1.334225E-08
3.575282,-1.966357,3.763961,-24.1059,1.000001,334.7,1.334225E-08
3.613287,-2.033145,3.851644,-23.91825,1.000001,334.7,1.334225E-08
3.651601,-2.065682,3.87692,-23.82402,1.000001,334.7,1.334225E-08
3.688724,-2.130553,3.889144,-23.6356,0.9000012,334.8,0
3.726643,-2.198384,3.870308,-23.44916,0.7000011,335.2,0
3.763438,-2.272284,3.861981,-23.26686,0.300001,336.5,0
3.801926,-2.351877,3.874291,-23.09461,0.200001,341.5,0
3.838761,-2.427182,3.859152,-22.92056,0.200001,347.8,0
3.877064,-2.489767,3.848896,-22.73977,0.8000011,355.3,3.335378E-09
3.91395,-2.529989,3.880492,-22.54987,2.000001,3.4,6.674172E-09
3.952942,-2.539319,3.951088,-22.35304,3.000001,10.1,0
3.991855,-2.529667,3.988978,-22.25501,3.800001,15.3,5.347842E-08
4.031703,-2.484012,4.045177,-22.0623,4.700001,21.6,5.354089E-08
4.069892,-2.414891,4.093614,-21.87603,5.200002,27,1.071627E-07
4.109336,-2.336761,4.165918,-21.69041,6.200002,33.7,2.146992E-07
4.148074,-2.240788,4.222613,-21.51002,7.000002,39.9,0
4.18701,-2.126644,4.230657,-21.34037,7.600002,43.8,0
4.224081,-2.001427,4.206829,-21.18452,7.600002,44,-2.15335E-07
4.263049,-1.869333,4.195018,-21.03555,7.600002,44,-2.15335E-07
4.299706,-1.77411,4.205714,-20.88572,7.600002,44,-2.15335E-07
4.337162,-1.699041,4.165854,-20.72741,7.600002,44,-2.15335E-07
4.373188,-1.54379,4.176957,-20.6013,7.600002,44,-2.15335E-07
4.409113,-1.465275,4.181314,-20.5391,7.600002,44,-2.15335E-07
4.446011,-1.308617,4.228147,-20.41435,7.600002,44,-2.15335E-07
4.481864,-1.155401,4.297927,-20.28628,7.600002,44,-2.15335E-07
4.518258,-1.009085,4.349606,-20.1517,7.600002,44,-2.15335E-07
4.554006,-0.8656177,4.389609,-20.0138,7.600002,44,-2.15335E-07
4.589478,-0.7907718,4.421896,-19.94785,7.600002,44,-2.15335E-07
4.626041,-0.6368092,4.487885,-19.82009,7.600002,44,-2.15335E-07
4.661864,-0.4800986,4.523139,-19.69498,7.600002,44,-2.15335E-07
4.697078,-0.3241758,4.511869,-19.56911,7.600002,44,-2.15335E-07
4.731723,-0.2476147,4.498767,-19.50482,7.600002,44,-2.15335E-07
4.766107,-0.09950302,4.482104,-19.3714,7.600002,44,-2.15335E-07
4.801125,0.03935001,4.488317,-19.22927,7.600002,44,-2.15335E-07
4.836058,0.1692304,4.468391,-19.07825,7.600002,44,-2.15335E-07
4.870911,0.2319242,4.456007,-19.00057,7.600002,44,-2.15335E-07
4.906019,0.3555169,4.451931,-18.84249,7.700001,43.2,-2.153855E-07
4.939954,0.4770561,4.496446,-18.6823,7.700002,40.8,2.153855E-07
4.974019,0.5949085,4.565001,-18.52084,7.700003,37.6,0
5.009147,0.6518086,4.596219,-18.43901,7.600002,33.1,-2.15335E-07
5.044611,0.7585495,4.635685,-18.27179,7.000002,28.6,0
5.080418,0.844912,4.697977,-18.09432,6.200002,23.1,0
5.115651,0.9053304,4.769986,-17.90644,5.700002,20.2,0
5.153449,1.008971,4.80372,-17.77066,5.5,18.5,0
5.190695,1.061109,4.802243,-17.70514,5.400001,18,5.359873E-08
5.228402,1.167853,4.780117,-17.57494,5.400001,17.8,5.359872E-08
5.266695,1.280866,4.760059,-17.44806,5.400001,17.1,0
5.304218,1.403323,4.765981,-17.32658,5.400001,15.7,0
5.342434,1.535221,4.74995,-17.21031,5.4,13.9,0
5.379861,1.672397,4.725441,-17.09801,5.100001,11.5,0
5.418038,1.810245,4.723796,-16.98775,4.800001,9.400001,2.677433E-08
5.455572,1.944978,4.762644,-16.87892,4.5,7.2,2.676293E-08
5.493591,2.0729,4.821112,-16.77104,4.300001,5.5,-1.337787E-08
5.530649,2.132842,4.84812,-16.71814,3.900001,2.700001,0
5.568649,2.241043,4.880847,-16.61553,3.400001,359.2,0
5.606546,2.343978,4.915617,-16.51837,3.100002,356,0
5.644575,2.448436,4.96741,-16.42561,2.600002,353.1,1.335396E-08
5.68248,2.55138,5.012486,-16.33718,2.500001,351.5,-1.335292E-08
5.720822,2.65254,5.034545,-16.25036,2.500001,349.7,0
5.758759,2.748222,5.024499,-16.16688,2.500001,348,-2.670585E-08
5.79531,2.83624,5.00117,-16.08446,2.200002,344.8,0
